DriverNumber,Driver,LapNumber,LapTime,Sector1Time,Sector2Time,Sector3Time,Compound,TyreLife,Stint,TrackStatus,IsPersonalBest,IsAccurate,RaceNumber,Year,EventName,LapTime_RollingMean,LapTime_RollingStd,LapTime_CV,S1_Ratio,S2_Ratio,S3_Ratio,S1_Ratio_Std,S2_Ratio_Std,S3_Ratio_Std,SectorInconsistency_Score,LapInStint,StintProgress_Pct,LapTimeDelta_FromStintStart,FastestLap_Race,DeltaToFastest,PersonalBest,DeltaToPersonalBest,IsDegraded
1,VER,27.0,92.722,34.033,29.197,29.492,HARD,20.0,2.0,1,False,True,2,2024,Saudi Arabian Grand Prix,92.7086,0.09409197627821185,0.0010149217686192204,0.36704342011604585,0.3148875132115356,0.31806906667241863,0.0005157440051287557,0.00022895590281622324,0.0003204260274248116,0.0003550419784565968,18,0.43902439024390244,-2.3020000000000067,91.632,1.0899999999999892,91.773,0.9489999999999981,0
1,VER,28.0,92.674,33.962,29.194,29.518,HARD,21.0,2.0,1,False,True,2,2024,Saudi Arabian Grand Prix,92.685,0.0819603562701989,0.0008842893269698322,0.3664674018602844,0.31501823596693784,0.3185143621727777,0.0005469912595911616,0.0002525792144069673,0.000323154236465788,0.000374241570154639,19,0.4634146341463415,-2.3499999999999943,91.632,1.0420000000000016,91.773,0.9010000000000105,0
1,VER,29.0,92.752,33.939,29.126,29.687,HARD,22.0,2.0,1,False,True,2,2024,Saudi Arabian Grand Prix,92.6988,0.0871819935533649,0.000940486754449517,0.36591124719682594,0.31402018285319994,0.3200685699499742,0.0006759689203572732,0.00041955180846031556,0.0008675686466473351,0.0006543631251549746,20,0.4878048780487805,-2.2720000000000056,91.632,1.1199999999999903,91.773,0.9789999999999992,0
1,VER,30.0,92.601,33.902,29.221,29.478,HARD,23.0,2.0,1,False,True,2,2024,Saudi Arabian Grand Prix,92.662,0.08025895588615592,0.0008661474594348914,0.3661083573611516,0.3155581473202233,0.3183334953186251,0.0004647642494315662,0.0005518307412289524,0.0007982496837243068,0.0006049482247949418,21,0.5121951219512195,-2.423000000000002,91.632,0.9689999999999941,91.773,0.828000000000003,0
1,VER,31.0,92.454,33.899,29.138,29.417,HARD,24.0,2.0,1,True,True,2,2024,Saudi Arabian Grand Prix,92.64059999999999,0.11888986500091142,0.0012833451532148047,0.36665801371492857,0.3151621346831938,0.31817985160187773,0.00044775448615552916,0.0005669679563270013,0.0008197565666489165,0.0006114930030438156,22,0.5365853658536586,-2.5700000000000074,91.632,0.8219999999999885,91.773,0.6809999999999974,0
1,VER,32.0,92.545,33.99,29.125,29.43,HARD,25.0,2.0,1,False,True,2,2024,Saudi Arabian Grand Prix,92.6052,0.11487689062614842,0.0012405015120765187,0.3672807823221136,0.31471176184558863,0.3180074558322978,0.000532579752718513,0.0005755843888877449,0.0008307432459632919,0.0006463024625231833,23,0.5609756097560976,-2.478999999999999,91.632,0.9129999999999967,91.773,0.7720000000000056,0
1,VER,33.0,92.309,33.856,29.071,29.382,HARD,26.0,2.0,1,True,True,2,2024,Saudi Arabian Grand Prix,92.53219999999999,0.16518383698148906,0.0017851497854961742,0.36676813745138614,0.31493137180556613,0.31830049074304784,0.0005468630962086752,0.0005722015882833768,0.000843005856025205,0.0006540235135057523,24,0.5853658536585366,-2.7150000000000034,91.632,0.6769999999999925,91.773,0.5360000000000014,0
1,VER,34.0,92.558,33.918,29.188,29.452,HARD,27.0,2.0,1,False,True,2,2024,Saudi Arabian Grand Prix,92.49340000000001,0.11615636013548919,0.0012558340393529612,0.36645130620799926,0.315348214092785,0.3182004796992156,0.00043148229791905695,0.0003337577056214269,0.00012777325590933875,0.00029767108648327416,25,0.6097560975609756,-2.465999999999994,91.632,0.9260000000000019,91.773,0.7850000000000108,0
1,VER,35.0,92.536,34.0,29.147,29.389,HARD,28.0,2.0,1,False,True,2,2024,Saudi Arabian Grand Prix,92.4804,0.10411676137839146,0.001125825162719792,0.36742456989712113,0.3149801158468055,0.3175953142560733,0.0004171535930898154,0.00024091360091694944,0.00027864611804270654,0.00031223777068315714,26,0.6341463414634146,-2.4879999999999995,91.632,0.9039999999999964,91.773,0.7630000000000052,0
1,VER,36.0,92.413,33.965,29.074,29.374,HARD,29.0,2.0,1,False,True,2,2024,Saudi Arabian Grand Prix,92.4722,0.1082483256218051,0.0011706039828381406,0.36753487063508383,0.31460941642409623,0.31785571294082,0.00046307433644397024,0.00028585954333658565,0.000280536489818645,0.00034315678986640026,27,0.6585365853658537,-2.611000000000004,91.632,0.7809999999999917,91.773,0.6400000000000006,0
